2024-02-21 23:10:40,519 | data_create_log | INFO | getting splits data for RELIANCE.NS...
2024-02-21 23:10:41,312 | data_create_log | INFO | Successfully fetched splits data for RELIANCE.NS
2024-02-21 23:10:41,313 | data_create_log | INFO | getting splits data for BHARTIARTL.NS...
2024-02-21 23:10:41,969 | data_create_log | INFO | Successfully fetched splits data for BHARTIARTL.NS
2024-02-21 23:10:41,970 | data_create_log | INFO | getting splits data for ASIANPAINT.NS...
2024-02-21 23:10:42,655 | data_create_log | INFO | Successfully fetched splits data for ASIANPAINT.NS
2024-02-21 23:10:42,656 | data_create_log | INFO | getting splits data for HDFCBANK.NS...
2024-02-21 23:10:43,362 | data_create_log | INFO | Successfully fetched splits data for HDFCBANK.NS
2024-02-21 23:10:43,365 | data_create_log | INFO | getting splits data for ICICIBANK.NS...
2024-02-21 23:10:43,962 | data_create_log | INFO | Successfully fetched splits data for ICICIBANK.NS
2024-02-21 23:10:43,963 | data_create_log | INFO | getting splits data for SBIN.NS...
2024-02-21 23:10:44,608 | data_create_log | INFO | Successfully fetched splits data for SBIN.NS
2024-02-21 23:10:44,609 | data_create_log | INFO | getting splits data for TCS.NS...
2024-02-21 23:10:45,281 | data_create_log | INFO | Successfully fetched splits data for TCS.NS
2024-02-21 23:10:45,281 | data_create_log | INFO | getting splits data for MPHASIS.NS...
2024-02-21 23:10:46,022 | data_create_log | INFO | Successfully fetched splits data for MPHASIS.NS
2024-02-21 23:10:46,023 | data_create_log | INFO | getting splits data for TECHM.NS...
2024-02-21 23:10:46,675 | data_create_log | INFO | Successfully fetched splits data for TECHM.NS
2024-02-21 23:10:46,676 | data_create_log | INFO | Successfully fetched data for 9 ticker names
2024-02-21 23:10:46,680 | data_create_log | INFO | Successfully saved dataframe to path D:\Study\DE\Project\data_source\splits_dividends_data\splits_data.csv
2024-02-21 23:10:46,693 | data_create_log | INFO | getting dividends data for RELIANCE.NS...
2024-02-21 23:10:47,451 | data_create_log | INFO | Successfully fetched dividends data for RELIANCE.NS
2024-02-21 23:10:47,452 | data_create_log | INFO | getting dividends data for BHARTIARTL.NS...
2024-02-21 23:10:48,167 | data_create_log | INFO | Successfully fetched dividends data for BHARTIARTL.NS
2024-02-21 23:10:48,167 | data_create_log | INFO | getting dividends data for ASIANPAINT.NS...
2024-02-21 23:10:48,854 | data_create_log | INFO | Successfully fetched dividends data for ASIANPAINT.NS
2024-02-21 23:10:48,855 | data_create_log | INFO | getting dividends data for HDFCBANK.NS...
2024-02-21 23:10:49,557 | data_create_log | INFO | Successfully fetched dividends data for HDFCBANK.NS
2024-02-21 23:10:49,558 | data_create_log | INFO | getting dividends data for ICICIBANK.NS...
2024-02-21 23:10:50,263 | data_create_log | INFO | Successfully fetched dividends data for ICICIBANK.NS
2024-02-21 23:10:50,263 | data_create_log | INFO | getting dividends data for SBIN.NS...
2024-02-21 23:10:51,188 | data_create_log | INFO | Successfully fetched dividends data for SBIN.NS
2024-02-21 23:10:51,189 | data_create_log | INFO | getting dividends data for TCS.NS...
2024-02-21 23:10:51,755 | data_create_log | INFO | Successfully fetched dividends data for TCS.NS
2024-02-21 23:10:51,755 | data_create_log | INFO | getting dividends data for MPHASIS.NS...
